"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,82,21654,82,21,1264754
2023-06-01,yandex,cpc,prof-frontend,72,57138,72,12,1219399
2023-06-01,yandex,cpc,prof-python,53,33026,53,8,617096
2023-06-01,yandex,cpc,base-python,26,12524,26,7,476021
2023-06-01,vk,cpc,freemium-frontend,92,3160,56,7,391017
2023-06-01,vk,cpc,prof-python,76,2028,45,5,355564
2023-06-01,yandex,cpc,base-frontend,34,18061,34,3,268515
2023-06-01,yandex,cpc,prof-java,47,29490,47,3,263690
2023-06-01,vk,cpc,freemium-python,50,980,31,3,249186
2023-06-01,yandex,cpc,prof-data-analytics,11,10086,11,2,220264
2023-06-01,vk,cpc,prof-java,55,3115,26,1,178800
2023-06-20,telegram,cpp,base-java,3,,1,1,151192
2023-06-01,yandex,cpc,dod-php,4,5964,4,1,150255
2023-06-01,yandex,cpc,dod-frontend,7,2871,7,2,116955
2023-06-01,yandex,cpc,dod-professions,7,,7,2,109197
